SNO,PIN_Code,State_Name,Lat,Long
492,517419,ANDHRA PRADESH,13.2031,79.1596
493,517126,ANDHRA PRADESH,14.6613,79.028
494,517418,ANDHRA PRADESH,13.505,78.7456
495,517425,ANDHRA PRADESH,15.0581,77.959
496,517423,ANDHRA PRADESH,15.1451,77.8249
497,517401,ANDHRA PRADESH,14.4111,77.8872
498,517424,ANDHRA PRADESH,13.0023,78.4843
499,517415,ANDHRA PRADESH,13.0922,78.6119
500,517432,ANDHRA PRADESH,13.1495,78.6763
501,517429,ANDHRA PRADESH,13.8709,78.06
502,517416,ANDHRA PRADESH,13.7403,79.5039
503,524409,ANDHRA PRADESH,14.2733,79.7368
504,524343,ANDHRA PRADESH,15.835,80.1673
505,524345,ANDHRA PRADESH,14.3848,79.7332
506,524408,ANDHRA PRADESH,14.4888,79.7996
507,524309,ANDHRA PRADESH,14.4789,79.8218
508,524404,ANDHRA PRADESH,14.5453,77.8198
509,524406,ANDHRA PRADESH,14.1875,79.8255
510,524134,ANDHRA PRADESH,14.5196,79.9192
511,524101,ANDHRA PRADESH,14.4696,79.9844
512,524410,ANDHRA PRADESH,16.6351,79.6561
